ID,政策名称,领域,年份,政策对象,处理组定义,对照组定义,冲击时间,数据合并键,推荐方法,识别风险类型,可用数据源,主要因变量,推荐等级,官方来源URL,备注/下一步核验
1,中美贸易摩擦 301 关税清单,国际贸易与对外开放,2018,HS 产品、出口企业,政策前出口产品进入 USTR 加征关税清单的企业；可用政策前产品出口份额加权构造关税暴露度,未进入清单产品或低暴露企业；也可在企业-产品-目的国层面比较受冲击产品与未受冲击产品,2018 年多轮清单生效时间；建议按清单批次精确到月或季度,企业代码、HS 产品、目的国、年份,暴露度 DID / 企业-产品事件研究,政策暴露度与企业原有出口结构相关；存在市场替代和预期调整,中国海关数据库、工业企业数据库、上市公司数据、专利数据、USTR 清单,出口、市场转移、创新、就业、投资、融资约束,A,https://ustr.gov/issue-areas/enforcement/section-301-investigations/tariff-ac...,需下载各 List 的 HS 代码并统一 HS 版本
2,跨境电子商务综合试验区扩容,国际贸易与对外开放,2016,试点城市、外贸企业、电商企业,获批跨境电商综试区城市中的企业；可按获批批次构造多期处理,未获批城市或尚未获批城市；需匹配城市外贸基础和数字基础,2015 杭州首批；2016、2018、2019、2020 等批次扩容,城市代码、企业注册地址、海关企业代码,多期 DID / 城市-企业 DID,试点城市选择非随机；试点前跨境电商基础较强,海关数据、企业注册数据、城市统计年鉴、跨境电商平台数据,出口增长、创业活跃度、贸易便利化、企业进入退出,A,https://www.gjxfj.gov.cn/gjxfj/fgwj/gwywj/webinfo/2020/05/1590610501225070.htm,需整理全部批次城市名单
3,自由贸易试验区扩容,国际贸易与对外开放,2019,自贸区片区、城市、区县、企业,自贸区所在片区或城市企业；若有片区边界，可下沉到区县或园区,非自贸区城市或同省非片区区县；需控制原有开放基础,各批次自贸区国务院批复时间；2019 年新增 6 个自贸试验区,城市代码、区县代码、企业注册地址,多期 DID / 合成控制,试点选择非随机；自贸区通常位于开放基础较好地区,企业工商注册、海关数据、外资企业数据、城市统计年鉴,外资进入、出口、制度创新、企业生产率、营商环境,A,https://data.mofcom.gov.cn/report/%E4%B8%AD%E5%9B%BD%E8%87%AA%E7%94%B1%E8%B4%...,建议优先使用片区边界而非整市处理
4,RCEP 生效实施,国际贸易与对外开放,2022,出口企业、进口企业、产品、贸易伙伴,对 RCEP 成员市场或 RCEP 关税减让产品暴露度较高的企业和行业,低 RCEP 暴露企业、非 RCEP 市场或低关税减让产品,2022-01-01 对多数成员生效；不同成员生效时间可分开处理,企业代码、HS 产品、目的国、年份,暴露度 DID / 贸易伙伴-产品层面 DID,协定生效前已有区域供应链趋势；关税减让与产品竞争力相关,海关数据、RCEP 税率表、UN Comtrade、BACI、上市公司数据,出口、进口中间品、供应链重组、产品结构,B,https://fta.mofcom.gov.cn/rcep/rcep_new.shtml,需整理产品层面关税减让幅度和成员国生效时间
5,外商投资法实施,国际贸易与对外开放,2020,外资企业、外资准入行业、地区,政策前外资依赖度高或外资准入约束较强的行业/地区,外资依赖度低或准入约束弱的行业/地区,2020-01-01 施行,企业注册类型、行业代码、地区代码,暴露度 DID / 行业-地区 DID,全国性法律无自然对照组；需用政策前外资暴露度或负面清单约束构造强度,外资企业注册数据、商务部外资数据、工业企业数据库、上市公司数据,外资进入、企业投资、生产率、竞争效应,B,https://flk.npc.gov.cn/detail?fileId=&id=ff8080816f135f46016f1d5318af145e&tit...,可与外资准入负面清单调整结合使用
6,科创板并试点注册制,金融市场与公司治理,2019,拟上市企业、科创企业、IPO 企业,科创板上市或受理企业；更好做法是政策前符合科创板定位的潜在受益企业,同期创业板、主板或其他潜在上市企业；同业未上市企业,2019-01-28 实施意见公布；受理、注册、上市节点可分别使用,企业名称、统一社会信用代码、证券代码、行业代码,事件研究 / DID / 候选企业暴露度设计,实际上市企业存在强选择；处理组应尽量用政策前特征定义,上交所审核数据、CSMAR、Wind、巨潮资讯、专利、辅导备案数据,IPO 定价、审核效率、融资约束、创新、信息披露,A,https://www.csrc.gov.cn/csrc/c101950/c1048046/content.shtml,需区分上市结果、受理事件和政策预期
7,北京证券交易所设立,金融市场与公司治理,2021,新三板企业、创新型中小企业,新三板精选层/创新层企业；符合北交所上市条件的中小企业,基础层企业、未达条件企业或其他板块可比企业,2021-09-03 注册成立；2021-11-15 开市交易,证券代码、企业名称、行业代码,事件研究 / DID / 候选企业设计,企业是否进入北交所存在筛选；政策同时改变市场预期和融资通道,北交所数据、全国股转系统、CSMAR、Wind、专精特新名单,融资、估值、流动性、创新、上市路径,A,https://www.bseinfo.net/company/introduce.html,适合与专精特新、小巨人政策交叉研究
8,全面实行股票发行注册制,金融市场与公司治理,2023,主板拟上市企业、再融资企业、中介机构,主板 IPO、再融资、并购重组等受全面注册制影响主体,改革前已试点注册制板块或政策前后主板可比企业,2023-02-17 相关制度规则发布实施,证券代码、IPO 申报企业、保荐机构、会计师事务所,事件研究 / DID / 审核流程分析,全国资本市场制度改革，需界定被新增影响的板块和业务类型,证监会、交易所审核数据、CSMAR、Wind、巨潮资讯,审核效率、发行定价、信息披露、上市质量、中介责任,A,https://www.csrc.gov.cn/csrc/c100028/c7123213/content.shtml,可把主板作为新增处理组，科创板/创业板作为参照
9,上市公司独立董事制度改革,金融市场与公司治理,2023,上市公司、独立董事、董事会专门委员会,政策前独董结构、任职数量、专门委员会设置不符合新规或调整压力较大的公司,合规程度较高、调整压力较小的公司,2023-09-04 管理办法施行,证券代码、董事个人 ID、公司治理变量,暴露度 DID / 公司治理事件研究,治理结构调整压力不随机；需用政策前合规差距构造强度,CSMAR 公司治理、Wind、巨潮公告、董事履历数据,关联交易、审计质量、财务舞弊、信息披露、公司价值,A,https://www.csrc.gov.cn/csrc/c101953/c7424110/content.shtml,适合做政策前合规缺口变量
10,股份减持与现金分红监管强化,金融市场与公司治理,2023,上市公司、控股股东、实际控制人,破发、破净或低分红公司；控股股东和实际控制人减持受约束公司,不触发约束条件的上市公司,2023-08-27 减持监管要求；2023-12-15 现金分红指引修订,证券代码、股东 ID、公告日期,事件研究 / DID / 规则阈值比较,规则触发条件与企业基本面相关；破发破净企业本身风险较高,CSMAR、Wind、巨潮公告、股东减持公告、财务数据,减持行为、分红政策、股价反应、控股股东行为,A,https://www.csrc.gov.cn/csrc/c100028/c7428483/content.shtml,可结合现金分红指引源：https://www.csrc.gov.cn/csrc/c100028/c7449654/content.shtml
11,资管新规,银行、影子银行与金融监管,2018,金融机构、理财产品、非标融资依赖企业,非标融资依赖度高的企业、影子银行业务占比高的金融机构,非标依赖度低的企业或业务占比较低的金融机构,2018-04-27 指导意见发布；过渡期安排需单独处理,证券代码、银行代码、产品代码、融资结构,暴露度 DID / 金融机构-企业匹配,非标依赖度与企业风险、融资约束相关；政策过渡期较长,银行理财数据、信托数据、上市公司融资数据、债券数据,融资成本、投资、违约风险、影子银行收缩,A,https://www.scio.gov.cn/xwfb/bwxwfb/gbwfbh/rmyx/202207/t20220715_207418.html,需明确使用发布日、执行日还是过渡期结束日
12,房地产贷款集中度管理制度,银行、影子银行与金融监管,2021,银行、房地产企业、居民房贷,房地产贷款占比或个人住房贷款占比超过监管上限的银行,低于监管上限的银行；或低房地产信贷依赖地区,2021-01-01 实施,银行代码、地区代码、房地产企业证券代码,阈值 DID / 银行暴露度 DID,银行房地产贷款占比反映经营模式和区域经济结构，非随机,银行年报、Wind、银保监披露、房地产企业财务数据,信贷配置、房企融资、居民房贷、银行风险,B,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=955072&itemId=915,比“三道红线”更容易找到正式文件和银行层面变量
13,全面推开营改增,财税政策与政府激励,2016,建筑业、房地产业、金融业、生活服务业等营业税纳税人,2016 年纳入营改增的行业和企业；可按行业税制变化强度构造暴露度,较早完成营改增或税负变化较小的行业/企业,2016-05-01 全国全面推开,企业代码、行业代码、税负指标,行业 DID / 税负暴露度 DID,全国同步实施；行业税负变化与行业趋势相关,税务数据、工业企业数据库、上市公司财务、行业投入产出表,税负、投资、分工、融资、利润、企业进入退出,A,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5203752/content.html,若没有税务数据，可用行业层面税负模拟
14,研发费用加计扣除比例提高,财税政策与政府激励,2018,企业、研发活动、科技型企业,政策前有研发活动或研发强度较高的企业；2018 年起 75%，2023 年起 100%,研发强度低或不符合条件企业,2018-01-01 政策适用；2023-01-01 进一步提高到 100%,证券代码、企业代码、研发费用、行业代码,暴露度 DID / 税收激励设计,研发强度高企业本来创新趋势更强；需使用政策前研发暴露度,CSMAR、Wind、企业所得税数据、专利数据、年报文本,研发投入、专利、创新质量、税负、现金流,A,https://szs.mof.gov.cn/zhengcefabu/201809/t20180921_3025179.htm,可另加 2023 年政策源：https://www.most.gov.cn/tztg/202308/t20230803_187386.html
15,增值税期末留抵退税扩围,财税政策与政府激励,2022,小微企业、制造业等行业企业,符合留抵退税条件且政策前留抵税额较高企业,留抵税额低或不符合条件企业,2022-04 起分批申请退还存量和增量留抵税额,企业税号、行业代码、留抵税额、规模类型,暴露度 DID / 准实验现金流冲击,能否取得留抵税额是关键；符合条件企业可能与财务状况相关,税务数据、上市公司财务、企业年报、行业数据,现金流、投资、就业、创新、债务偿还,B,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5202030/content.html,若无税务微观数据，上市公司层面识别较弱
