field,中文字段,说明,示例
policy_id,ID,政策条目的唯一编号,1
policy_name,政策名称,具体政策冲击名称,中美贸易摩擦 301 关税清单
domain,领域,按研究领域分类，而非按发文部门分类,国际贸易与对外开放
year,年份,政策发布、实施或主要冲击年份,2018
policy_object,政策对象,政策原始作用对象,HS 产品、出口企业
treatment_group,处理组定义,如何把政策转化为 Treat 或 Exposure,政策前出口产品进入清单的企业
control_group,对照组定义,可比较对象及其边界,未进入清单产品或低暴露企业
shock_time,冲击时间,政策真正进入数据的时间,2018 年多轮清单生效时间
merge_key,数据合并键,政策对象与研究数据连接方式,企业代码、HS 产品、目的国、年份
method,推荐方法,建议使用的识别方法,暴露度 DID / 企业-产品事件研究
identification_risk,识别风险类型,主要内生性和识别威胁,政策暴露度与企业原有出口结构相关
data_source,可用数据源,可连接的数据或资料来源,中国海关数据库、上市公司数据、USTR 清单
outcomes,主要因变量,适合研究的结果变量,出口、市场转移、创新
rating,推荐等级,A / B / C；A 表示更适合作为示范政策,A
official_source_url,官方来源 URL,政策文件或官方说明链接,https://...
notes,备注/下一步核验,后续需要补充或核验的事项,需下载各 List 的 HS 代码并统一 HS 版本
